label,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,equivalent_diameter,eccentricity,perimeter,solidity
1,8897.0,22.738563560750816,91.72743621445431,0,0,76,295,106.4331350168205,0.9765673050454384,1046.1330803764909,0.6431721246295091
2,2606.0,43.457789716039905,334.5974673829624,16,305,72,365,57.60262366923779,0.32942102319398286,188.75230867899737,0.9822842065586129
3,1684.0,50.76603325415677,155.1419239904988,28,131,74,179,46.304809613408565,0.295117682638031,154.16042558696057,0.967816091954023
4,1639.0,51.02196461256864,215.14215985356924,30,192,73,240,45.68193968978257,0.38858908609381493,150.12489168102786,0.9808497905445841
5,1232.0,52.42451298701299,275.9862012987013,34,255,72,297,39.60594802695323,0.40903701360217365,132.22539674441617,0.9731437598736177
6,1134.0,56.21957671957672,100.20370370370371,39,81,74,120,37.99807421080277,0.42390907909140196,125.15432893255071,0.9801210025929127
7,1895.0,119.02902374670185,270.65118733509235,96,245,144,296,49.120147976905905,0.3480916474944495,172.19595949289334,0.9678243105209398
8,1325.0,124.34037735849057,44.76301886792453,104,25,146,67,41.07362166615078,0.34198109420063555,137.88225099390854,0.9650400582665696
9,1218.0,123.71428571428571,205.2528735632184,105,185,144,227,39.38027127239512,0.37631408647742237,129.29646455628165,0.9744
10,1173.0,124.42710997442455,336.2028985507246,105,317,145,356,38.64595691627193,0.2348571814138744,126.71067811865476,0.9742524916943521
11,1130.0,125.57256637168142,102.27610619469027,107,84,145,122,37.930999005440576,0.3445872751320758,123.39696961966999,0.9758203799654577
12,1104.0,127.27717391304348,153.5588768115942,110,134,145,174,37.492085263260826,0.44483889019913797,122.81118318204308,0.9769911504424779
13,3091.0,186.30410870268523,347.3034616628923,156,315,218,380,62.73422855807178,0.2772954339239893,217.48023074035524,0.9710964498900408
14,1726.0,193.0648899188876,212.41135573580533,170,189,216,237,46.87868869980144,0.2771018997878593,157.78174593052023,0.9718468468468469
15,1464.0,193.52937158469945,274.2745901639344,172,251,216,297,43.17432910297829,0.5088519080274952,217.40916292848976,0.9277566539923955
16,1481.0,195.54355165428765,101.69412559081701,175,80,217,124,43.424276226009525,0.26419744754882335,141.05382386916236,0.9801455989410987
17,1105.0,196.85882352941175,43.37194570135747,178,25,217,63,37.50906153094682,0.06794288938043776,133.84671708797583,0.9484978540772532
18,1157.0,197.70872947277442,154.0847018150389,179,135,217,174,38.381481905452574,0.25612022930362255,125.98275605729688,0.9739057239057239
19,2370.0,259.67932489451476,46.143037974683544,233,18,288,75,54.93248329560876,0.23403710056194396,240.69343417595167,0.9495192307692307
20,2166.0,261.033702677747,172.2797783933518,236,144,288,201,52.51511071964299,0.417375034935471,228.23759005323592,0.9256410256410257
21,1965.0,263.1913486005089,300.66564885496183,240,276,288,326,50.01915338552418,0.42014922923119896,163.29646455628165,0.9825
22,1738.0,263.3596087456847,244.0776754890679,241,220,288,269,47.04136827038211,0.3328995919283863,157.98885271170678,0.9736694677871148
23,1384.0,265.9017341040462,113.7492774566474,245,92,287,136,41.97813156768016,0.3327162428012946,142.71067811865476,0.9651324965132496
24,1474.0,267.93962008141114,358.0963364993216,248,336,289,381,43.32153147038583,0.422519361914687,141.0538238691624,0.9800531914893617
