phase,label_3d,volume_voxels,volume_mm3,equivalent_diameter_voxels,equivalent_diameter_um,centroid_z_pixels,centroid_y_pixels,centroid_x_pixels,centroid_z_mm,centroid_y_mm,centroid_x_mm,bbox_z_pixels,bbox_y_pixels,bbox_x_pixels,bbox_z_mm,bbox_y_mm,bbox_x_mm,longest_axis_bbox_pixels,intermediate_axis_bbox_pixels,shortest_axis_bbox_pixels,elongation_bbox,flatness_bbox,extent_3d,mean_intensity,min_intensity,max_intensity
pores,2,95.0,0.04864000000000001,5.661197779576941,452.8958223661553,1.9578947368421054,1.4842105263157894,187.6,0.15663157894736843,0.11873684210526315,15.008,6,5,8,0.48,0.4,0.64,8.0,6.0,5.0,1.6,1.3333333333333333,0.3958333333333333,80.3157894736842,65.0,87.0
pores,4,179.0,0.09164800000000002,6.992269136954583,559.3815309563666,2.4804469273743015,3.2513966480446927,63.41340782122905,0.19843575418994414,0.26011173184357544,5.073072625698324,7,8,11,0.56,0.64,0.88,11.0,8.0,7.0,1.5714285714285714,1.375,0.2905844155844156,76.71508379888269,27.0,87.0
pores,5,132.0,0.067584,6.317206927705878,505.37655421647025,1.128787878787879,8.007575757575758,149.25,0.09030303030303032,0.6406060606060606,11.94,5,14,13,0.4,1.12,1.04,14.0,13.0,5.0,2.8,1.0769230769230769,0.14505494505494507,79.6969696969697,31.0,87.0
pores,6,149.0,0.07628800000000001,6.57752562495326,526.2020499962608,1.3221476510067114,10.523489932885907,38.52348993288591,0.10577181208053692,0.8418791946308726,3.0818791946308726,5,14,11,0.4,1.12,0.88,14.0,11.0,5.0,2.8,1.2727272727272727,0.19350649350649352,77.59731543624162,35.0,87.0
pores,7,231.0,0.11827200000000002,7.612683704002246,609.0146963201797,3.051948051948052,9.480519480519481,5.077922077922078,0.24415584415584415,0.7584415584415585,0.4062337662337662,10,10,12,0.8,0.8,0.96,12.0,10.0,10.0,1.2,1.2,0.1925,81.3030303030303,59.0,87.0
pores,9,93.0,0.047616000000000006,5.62118797776233,449.69503822098636,3.5806451612903225,6.849462365591398,125.73118279569893,0.2864516129032258,0.5479569892473118,10.058494623655914,8,7,8,0.64,0.56,0.64,8.0,8.0,7.0,1.1428571428571428,1.0,0.20758928571428573,82.43010752688173,61.0,87.0
pores,19,112.0,0.057344000000000006,5.980531746873981,478.4425397499185,1.4732142857142858,20.026785714285715,75.58928571428571,0.11785714285714287,1.6021428571428573,6.047142857142857,6,8,10,0.48,0.64,0.8,10.0,8.0,6.0,1.6666666666666667,1.25,0.23333333333333334,72.69642857142857,18.0,87.0
pores,20,104.0,0.05324800000000001,5.834606511185437,466.768520894835,1.6442307692307692,21.067307692307693,26.60576923076923,0.13153846153846155,1.6853846153846155,2.1284615384615386,5,7,8,0.4,0.56,0.64,8.0,7.0,5.0,1.6,1.1428571428571428,0.37142857142857144,79.8173076923077,69.0,87.0
pores,21,85.0,0.04352000000000001,5.455150891048748,436.4120712838999,1.576470588235294,21.988235294117647,182.63529411764705,0.12611764705882353,1.7590588235294118,14.610823529411764,6,14,9,0.48,1.12,0.72,14.0,9.0,6.0,2.3333333333333335,1.5555555555555556,0.11243386243386243,81.16470588235295,70.0,87.0
pores,27,82.0,0.04198400000000001,5.390202444799826,431.21619558398606,1.4634146341463414,26.817073170731707,53.0,0.11707317073170731,2.1453658536585367,4.24,6,9,9,0.48,0.72,0.72,9.0,9.0,6.0,1.5,1.0,0.16872427983539096,80.76829268292683,67.0,87.0
pores,28,82.0,0.04198400000000001,5.390202444799826,431.21619558398606,2.8658536585365852,25.109756097560975,117.95121951219512,0.2292682926829268,2.008780487804878,9.43609756097561,7,7,7,0.56,0.56,0.56,7.0,7.0,7.0,1.0,1.0,0.239067055393586,81.59756097560975,68.0,87.0
pores,29,96.0,0.04915200000000001,5.680992338459954,454.47938707679634,4.364583333333333,25.458333333333332,128.57291666666666,0.3491666666666666,2.0366666666666666,10.285833333333333,11,7,7,0.88,0.56,0.56,11.0,7.0,7.0,1.5714285714285714,1.5714285714285714,0.17810760667903525,70.36458333333333,26.0,87.0
pores,30,141.0,0.072192,6.457635040206935,516.6108032165548,1.5957446808510638,28.326241134751772,152.4113475177305,0.1276595744680851,2.266099290780142,12.192907801418439,5,8,8,0.4,0.64,0.64,8.0,8.0,5.0,1.6,1.0,0.440625,78.50354609929079,59.0,87.0
pores,32,109.0,0.05580800000000001,5.926650153721812,474.13201229774495,4.027522935779817,28.798165137614678,163.78899082568807,0.32220183486238535,2.3038532110091743,13.103119266055046,10,8,8,0.8,0.64,0.64,10.0,8.0,8.0,1.25,1.25,0.1703125,73.74311926605505,29.0,87.0
pores,35,85.0,0.04352000000000001,5.455150891048748,436.4120712838999,1.7294117647058824,35.35294117647059,159.42352941176472,0.1383529411764706,2.828235294117647,12.753882352941178,5,7,6,0.4,0.56,0.48,7.0,6.0,5.0,1.4,1.1666666666666667,0.40476190476190477,79.91764705882353,59.0,87.0
pores,39,80.0,0.04096000000000001,5.346018470287903,427.6814776230322,0.7625,39.375,96.25,0.061,3.15,7.7,4,7,7,0.32,0.56,0.56,7.0,7.0,4.0,1.75,1.0,0.40816326530612246,40.6,12.0,86.0
pores,41,175.0,0.08960000000000001,6.939792343839249,555.18338750714,1.44,50.371428571428574,49.10285714285714,0.1152,4.029714285714286,3.9282285714285714,7,11,16,0.56,0.88,1.28,16.0,11.0,7.0,2.2857142857142856,1.4545454545454546,0.14204545454545456,79.67428571428572,49.0,87.0
pores,42,84.0,0.043008000000000005,5.43367369666554,434.6938957332432,2.0833333333333335,47.80952380952381,191.9404761904762,0.16666666666666669,3.824761904761905,15.355238095238096,7,9,6,0.56,0.72,0.48,9.0,7.0,6.0,1.5,1.2857142857142858,0.2222222222222222,81.27380952380952,66.0,87.0
pores,45,83.0,0.042496000000000006,5.412025364749767,432.96202917998136,0.7469879518072289,51.13253012048193,22.49397590361446,0.05975903614457831,4.090602409638555,1.7995180722891568,4,8,8,0.32,0.64,0.64,8.0,8.0,4.0,2.0,1.0,0.32421875,80.08433734939759,68.0,87.0
pores,57,282.0,0.144384,8.136110319695444,650.8888255756356,3.6347517730496453,58.9290780141844,38.06028368794326,0.2907801418439716,4.714326241134752,3.044822695035461,12,14,16,0.96,1.12,1.28,16.0,14.0,12.0,1.3333333333333333,1.1428571428571428,0.10491071428571429,54.716312056737586,13.0,87.0
pores,58,168.0,0.08601600000000001,6.845999868689003,547.6799894951203,3.9226190476190474,59.833333333333336,53.029761904761905,0.3138095238095238,4.786666666666667,4.242380952380953,10,10,11,0.8,0.8,0.88,11.0,10.0,10.0,1.1,1.1,0.15272727272727274,79.95238095238095,38.0,87.0
pores,60,83.0,0.042496000000000006,5.412025364749767,432.96202917998136,1.1686746987951808,62.86746987951807,157.55421686746988,0.09349397590361447,5.029397590361445,12.604337349397591,5,7,8,0.4,0.56,0.64,8.0,7.0,5.0,1.6,1.1428571428571428,0.29642857142857143,81.40963855421687,66.0,87.0
pores,63,90.0,0.04608000000000001,5.560083268891276,444.8066615113021,1.8222222222222222,63.666666666666664,103.92222222222222,0.14577777777777778,5.093333333333333,8.313777777777778,6,8,8,0.48,0.64,0.64,8.0,8.0,6.0,1.3333333333333333,1.0,0.234375,79.46666666666667,61.0,87.0
pores,71,104.0,0.05324800000000001,5.834606511185437,466.768520894835,2.6923076923076925,69.03846153846153,112.71153846153847,0.2153846153846154,5.523076923076923,9.016923076923078,8,7,7,0.64,0.56,0.56,8.0,7.0,7.0,1.1428571428571428,1.1428571428571428,0.2653061224489796,82.01923076923077,67.0,87.0
pores,73,89.0,0.045568000000000004,5.539413623573113,443.153089885849,2.966292134831461,68.53932584269663,15.168539325842696,0.23730337078651687,5.48314606741573,1.2134831460674158,7,7,8,0.56,0.56,0.64,8.0,7.0,7.0,1.1428571428571428,1.1428571428571428,0.22704081632653061,80.46067415730337,55.0,87.0
pores,74,162.0,0.08294400000000002,6.763509910720959,541.0807928576767,1.0246913580246915,75.5,25.858024691358025,0.08197530864197532,6.04,2.0686419753086422,5,14,15,0.4,1.12,1.2,15.0,14.0,5.0,3.0,1.0714285714285714,0.15428571428571428,79.43827160493827,46.0,87.0
pores,79,88.0,0.045056000000000006,5.518588563740668,441.4870850992534,1.5568181818181819,75.13636363636364,10.215909090909092,0.12454545454545456,6.010909090909092,0.8172727272727274,5,7,7,0.4,0.56,0.56,7.0,7.0,5.0,1.4,1.0,0.35918367346938773,80.47727272727273,66.0,87.0
pores,134,157.0,0.08038400000000001,6.693198063015236,535.4558450412189,2.171974522292994,125.59235668789809,136.5031847133758,0.1737579617834395,10.047388535031848,10.920254777070063,7,9,9,0.56,0.72,0.72,9.0,9.0,7.0,1.2857142857142858,1.0,0.2768959435626102,81.01910828025478,62.0,87.0
pores,137,187.0,0.09574400000000001,7.094922590181724,567.593807214538,2.7914438502673797,129.62032085561498,181.6898395721925,0.22331550802139039,10.3696256684492,14.535187165775401,8,13,13,0.64,1.04,1.04,13.0,13.0,8.0,1.625,1.0,0.13831360946745563,80.92513368983957,53.0,87.0
pores,144,114.0,0.05836800000000001,6.015920332305007,481.2736265844006,2.6228070175438596,131.28947368421052,165.71052631578948,0.20982456140350877,10.503157894736843,13.256842105263159,7,7,8,0.56,0.56,0.64,8.0,7.0,7.0,1.1428571428571428,1.1428571428571428,0.29081632653061223,80.80701754385964,63.0,87.0
pores,155,94.0,0.04812800000000001,5.641263819521383,451.30110556171064,0.9574468085106383,146.36170212765958,58.42553191489362,0.07659574468085106,11.708936170212766,4.67404255319149,4,12,7,0.32,0.96,0.56,12.0,7.0,4.0,3.0,1.7142857142857142,0.27976190476190477,75.41489361702128,18.0,87.0
pores,157,106.0,0.05427200000000001,5.871770611970455,469.7416489576364,1.8867924528301887,146.77358490566039,74.68867924528301,0.1509433962264151,11.741886792452831,5.9750943396226415,6,8,8,0.48,0.64,0.64,8.0,8.0,6.0,1.3333333333333333,1.0,0.2760416666666667,79.65094339622641,58.0,87.0
pores,162,158.0,0.08089600000000001,6.7073786097756045,536.5902887820483,2.9683544303797467,151.21518987341773,31.626582278481013,0.23746835443037972,12.097215189873419,2.530126582278481,8,8,8,0.64,0.64,0.64,8.0,8.0,8.0,1.0,1.0,0.30859375,78.90506329113924,58.0,87.0
