category,metric,value,unit
phase_fraction,pores_fraction_global,0.012329756803654019,fraction
phase_fraction,resin_fraction_global,0.20880853098870522,fraction
phase_fraction,material_fraction_global,0.7788617122076408,fraction
2d_components,pores_number_of_2d_objects,5280.0,objects
2d_components,pores_median_equivalent_diameter_2d,270.811000102923,um
2d_components,resin_number_of_2d_objects,86333.0,objects
2d_components,resin_median_equivalent_diameter_2d,469.0584114268031,um
3d_components,pores_number_of_3d_objects,232.0,objects
3d_components,pores_median_equivalent_diameter_3d,496.28039271951997,um
3d_components_refined,resin_refined_number_of_3d_objects_ge50,2097.0,objects
3d_components_refined,resin_refined_median_equivalent_diameter_3d,571.6123042568051,um
3d_components_refined,resin_refined_mean_equivalent_diameter_3d,638.9823032598251,um
3d_components_refined,resin_refined_volume_fraction_kept,0.9805434567942816,fraction
