z_index,z_position_mm,phase,number_of_objects
0,0.0,pores,106
0,0.0,resin,178
1,0.08,pores,97
1,0.08,resin,194
2,0.16,pores,79
2,0.16,resin,199
3,0.24,pores,67
3,0.24,resin,197
4,0.32,pores,60
4,0.32,resin,206
5,0.4,pores,55
5,0.4,resin,195
6,0.48,pores,44
6,0.48,resin,201
7,0.56,pores,28
7,0.56,resin,192
8,0.64,pores,16
8,0.64,resin,200
9,0.72,pores,22
9,0.72,resin,203
10,0.8,pores,17
10,0.8,resin,190
11,0.88,pores,11
11,0.88,resin,192
12,0.96,pores,12
12,0.96,resin,215
13,1.04,pores,12
13,1.04,resin,216
14,1.12,pores,11
14,1.12,resin,225
15,1.2,pores,10
15,1.2,resin,202
16,1.28,pores,10
16,1.28,resin,194
17,1.36,pores,9
17,1.36,resin,194
18,1.44,pores,8
18,1.44,resin,187
19,1.52,pores,7
19,1.52,resin,187
20,1.6,pores,9
20,1.6,resin,194
21,1.68,pores,8
21,1.68,resin,192
22,1.76,pores,12
22,1.76,resin,206
23,1.84,pores,11
23,1.84,resin,207
24,1.92,pores,15
24,1.92,resin,204
25,2.0,pores,13
25,2.0,resin,203
26,2.08,pores,12
26,2.08,resin,203
27,2.16,pores,7
27,2.16,resin,189
28,2.24,pores,9
28,2.24,resin,209
29,2.32,pores,9
29,2.32,resin,200
30,2.4,pores,10
30,2.4,resin,196
31,2.48,pores,13
31,2.48,resin,193
32,2.56,pores,11
32,2.56,resin,201
33,2.64,pores,10
33,2.64,resin,204
34,2.72,pores,12
34,2.72,resin,210
35,2.8000000000000003,pores,9
35,2.8000000000000003,resin,199
36,2.88,pores,10
36,2.88,resin,198
37,2.96,pores,7
37,2.96,resin,198
38,3.04,pores,6
38,3.04,resin,189
39,3.12,pores,8
39,3.12,resin,194
40,3.2,pores,8
40,3.2,resin,198
41,3.2800000000000002,pores,10
41,3.2800000000000002,resin,204
42,3.36,pores,5
42,3.36,resin,209
43,3.44,pores,6
43,3.44,resin,204
44,3.52,pores,7
44,3.52,resin,199
45,3.6,pores,5
45,3.6,resin,205
46,3.68,pores,8
46,3.68,resin,222
47,3.7600000000000002,pores,12
47,3.7600000000000002,resin,215
48,3.84,pores,9
48,3.84,resin,193
49,3.92,pores,5
49,3.92,resin,192
50,4.0,pores,7
50,4.0,resin,189
51,4.08,pores,7
51,4.08,resin,198
52,4.16,pores,9
52,4.16,resin,195
53,4.24,pores,14
53,4.24,resin,199
54,4.32,pores,12
54,4.32,resin,208
55,4.4,pores,6
55,4.4,resin,199
56,4.48,pores,11
56,4.48,resin,206
57,4.5600000000000005,pores,12
57,4.5600000000000005,resin,200
58,4.64,pores,8
58,4.64,resin,200
59,4.72,pores,7
59,4.72,resin,203
60,4.8,pores,6
60,4.8,resin,192
61,4.88,pores,9
61,4.88,resin,191
62,4.96,pores,9
62,4.96,resin,198
63,5.04,pores,7
63,5.04,resin,200
64,5.12,pores,8
64,5.12,resin,201
65,5.2,pores,6
65,5.2,resin,203
66,5.28,pores,4
66,5.28,resin,204
67,5.36,pores,7
67,5.36,resin,207
68,5.44,pores,9
68,5.44,resin,200
69,5.5200000000000005,pores,8
69,5.5200000000000005,resin,199
70,5.6000000000000005,pores,7
70,5.6000000000000005,resin,214
71,5.68,pores,8
71,5.68,resin,210
72,5.76,pores,12
